
Epoch 164, loss 8.51058087384133, train accuracy: 87.11%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 165, loss 8.740154157743591, train accuracy: 84.67%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 166, loss 7.071603970893662, train accuracy: 89.33%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 167, loss 8.852639043307414, train accuracy: 87.78%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 168, loss 8.78218921899184, train accuracy: 85.78%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 169, loss 9.037260029520574, train accuracy: 85.78%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 170, loss 7.5332994021369775, train accuracy: 88.44%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 171, loss 8.366639004724565, train accuracy: 84.89%, Validation accuracy: 73.00%, Best Valid accuracy: 74.00%
Epoch 172, loss 8.463218372374811, train accuracy: 86.44%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 173, loss 7.92470039770183, train accuracy: 85.33%, Validation accuracy: 73.00%, Best Valid accuracy: 74.00%
Epoch 174, loss 8.51093664611811, train accuracy: 85.11%, Validation accuracy: 73.00%, Best Valid accuracy: 74.00%
Epoch 175, loss 8.080768718618016, train accuracy: 86.22%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 176, loss 7.322349681661795, train accuracy: 89.11%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 177, loss 7.291689284238217, train accuracy: 88.89%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 178, loss 9.029604189245182, train accuracy: 84.67%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 179, loss 7.944469088147393, train accuracy: 87.33%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 180, loss 7.567062707607509, train accuracy: 88.22%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 181, loss 7.66520229543483, train accuracy: 87.33%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 182, loss 9.375466403110648, train accuracy: 85.78%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 183, loss 8.218741995979778, train accuracy: 88.22%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 184, loss 7.591268055150031, train accuracy: 88.00%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 185, loss 8.471639889589866, train accuracy: 85.78%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 186, loss 7.1385041038856505, train accuracy: 85.78%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 187, loss 7.812763801248506, train accuracy: 88.00%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 188, loss 8.05605466490085, train accuracy: 84.00%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 189, loss 9.832462317750696, train accuracy: 82.44%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 190, loss 8.269024659793804, train accuracy: 86.89%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 191, loss 7.774095901517037, train accuracy: 88.44%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 192, loss 8.673634327194716, train accuracy: 86.67%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 193, loss 8.101326650371682, train accuracy: 88.67%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 194, loss 8.066604367831513, train accuracy: 86.22%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 195, loss 9.186933809050489, train accuracy: 86.22%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 196, loss 8.03639231472201, train accuracy: 87.33%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 197, loss 7.412706524045043, train accuracy: 87.78%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 198, loss 8.173014179681653, train accuracy: 87.33%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 199, loss 8.389176522416077, train accuracy: 86.22%, Validation accuracy: 72.00%, Best Valid accuracy: 74.00%
Epoch 200, loss 7.153633221247173, train accuracy: 88.44%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 201, loss 7.065395227170549, train accuracy: 88.89%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 202, loss 7.184857667873186, train accuracy: 89.11%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 203, loss 7.411813705435986, train accuracy: 87.56%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 204, loss 8.027857348223833, train accuracy: 87.78%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 205, loss 7.966979954826733, train accuracy: 86.22%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 206, loss 8.79359431055896, train accuracy: 86.44%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 207, loss 9.120651724771957, train accuracy: 87.33%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 208, loss 6.763017586234919, train accuracy: 89.78%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 209, loss 7.335369085307091, train accuracy: 88.89%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 210, loss 8.403898159602102, train accuracy: 88.00%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 211, loss 8.292534883742478, train accuracy: 86.44%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 212, loss 9.284584221724593, train accuracy: 85.11%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 213, loss 9.080801055223873, train accuracy: 85.33%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 214, loss 8.113179553680364, train accuracy: 87.78%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 215, loss 7.41050896379057, train accuracy: 88.67%, Validation accuracy: 73.00%, Best Valid accuracy: 74.00%
Epoch 216, loss 8.799678729158256, train accuracy: 84.89%, Validation accuracy: 72.00%, Best Valid accuracy: 74.00%
Epoch 217, loss 7.687725890388652, train accuracy: 89.11%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 218, loss 7.76509672923023, train accuracy: 87.11%, Validation accuracy: 72.00%, Best Valid accuracy: 74.00%
Epoch 219, loss 7.869568975896296, train accuracy: 88.89%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 220, loss 6.98411131987157, train accuracy: 89.33%, Validation accuracy: 72.00%, Best Valid accuracy: 74.00%
Epoch 221, loss 7.3090978216241655, train accuracy: 87.78%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 222, loss 7.282435322730418, train accuracy: 89.33%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 223, loss 7.384088941840133, train accuracy: 87.56%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 224, loss 7.795111154586602, train accuracy: 88.22%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 225, loss 7.393316513170465, train accuracy: 88.44%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 226, loss 8.798258493982257, train accuracy: 85.56%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 227, loss 7.812917318009758, train accuracy: 86.00%, Validation accuracy: 72.00%, Best Valid accuracy: 74.00%
Epoch 228, loss 8.43076549745275, train accuracy: 89.56%, Validation accuracy: 72.00%, Best Valid accuracy: 74.00%
Epoch 229, loss 7.851248325227965, train accuracy: 88.22%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
